Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 1,Social Studies,"Mga Sagisag at Simbolo sa Payak na Mapa (bahay, simbahan, paaralan, ospital, parke)",,,,
Grade 1,Social Studies,"Mga Mahahalagang Lugar at Estruktura sa Komunidad (tahanan, palengke, barangay hall, health center, palaruan)",,,,
Grade 1,Social Studies,"Mga Katulong sa Pamayanan / Community Helpers (doktor, nars, pulis, bumbero, magsasaka, mangingisda, guro, basurero)",,,,
Grade 1,Social Studies,Tungkulin at Serbisyo ng mga Katulong sa Pamayanan,,,,
Grade 1,Social Studies,"Mga Batayang Tuntunin at Batas sa Pamayanan (tamang tawiran, tamang tapunan ng basura)",,,,
Grade 1,Social Studies,"Wastong Pag-iingat sa Sarili at Pagiging Ligtas sa Pamayanan (stranger danger, emergency hotlines)",,,,
Grade 1,Social Studies,"Pangangalaga sa Kapaligiran ng Sariling Komunidad (kalinisan, pagtatanim, pagtitipid ng enerhiya at tubig)",,,,
Grade 1,Social Studies,"Pagiging Mabuting Kasapi ng Pamilya, Paaralan, at Pamayanan (mabuting mamamayan)",,,,
Grade 1,Social Studies,"Pambansang Sagisag ng Pilipinas (Watawat ng Pilipinas, Lupang Hinirang, Panatang Makabayan)",,,,
Grade 1,Social Studies,Wastong Paggalang sa Watawat at Pambansang Awit ng Pilipinas,,,,
Grade 1,Social Studies,"Iba pang Pambansang Simbolo (Pambansang ibon, bulaklak, puno, hayop, kasuotan sa payak na pagkilala)",,,,
Grade 2,Science,"Major body organs and their basic functions (brain, heart, lungs, stomach, bones, muscles)",,,,
Grade 2,Science,How bones and muscles work together to produce movement,,,,
Grade 2,Science,"Digestive system basics (mouth, food pipe, stomach, basic path of food)",,,,
Grade 2,Science,"Respiratory system basics (breathing in oxygen, breathing out carbon dioxide)",,,,
Grade 2,Science,Circulatory system basics (heart pumping blood throughout the body),,,,
Grade 2,Science,Practices for keeping internal and external organs healthy,,,,
Grade 2,Science,"Common childhood illnesses, symptoms, and basic prevention",,,,
Grade 2,Science,"Importance of balanced diet and the basic food groups (Go, Grow, Glow foods)",,,,
Grade 2,Science,"Animal body coverings (fur, feathers, scales, shells, skin) and their protective roles",,,,
Grade 2,Science,"Animal adaptations for breathing (lungs, gills, skin, spiracles)",,,,
Grade 2,Science,"Animal body parts used for food gathering and eating (beaks, teeth, proboscis, tongues)",,,,
Grade 2,Science,"Animal body parts used for movement and defense (claws, horns, stingers, camouflaging colors)",,,,
Grade 2,Science,"Classifying animals by habitat (terrestrial, aquatic, arboreal, amphibious)",,,,
Grade 2,Science,"Classifying animals by food source (herbivores, carnivores, omnivores)",,,,
Grade 2,Science,Classifying animals by reproduction (egg-laying/oviparous vs. live-bearing/viviparous),,,,
Grade 2,Science,"Life cycle of a butterfly (egg, caterpillar/larva, chrysalis/pupa, adult)",,,,
Grade 2,Science,"Life cycle of a frog (egg, tadpole, froglet, adult frog)",,,,
Grade 2,Science,"Life cycle of a chicken (egg, chick, adult)",,,,
Grade 2,Science,"Life cycle of a mammal/dog (newborn puppy, young dog, adult)",,,,
Grade 2,Science,"Beneficial animals (food sources, helpers in farming, pest controllers, companions)",,,,
Grade 2,Science,"Harmful or dangerous animals (disease vectors, poisonous/venomous creatures)",,,,
Grade 2,Science,"Detailed functions of plant parts (taproots vs. fibrous roots, woody vs. soft stems)",,,,
Grade 2,Science,Leaf structures and their role in making food (photosynthesis conceptually introduced),,,,
Grade 2,Science,"Flower parts (petals, sepals, pollen) and role in attracting insects",,,,
Grade 2,Science,"Fruit and seed dispersal mechanisms (wind, water, animals, self-explosion)",,,,
Grade 2,Science,"Life cycle of a flowering plant (seed, germination, seedling, mature plant, flower, fruit)",,,,
Grade 2,Science,Comparing monocot and dicot seeds / plants (exploratory observation),,,,
Grade 2,Science,"Plant habitats (terrestrial, aquatic, aerial/epiphytic plants like orchids)",,,,
Grade 2,Science,"Special plant adaptations (thorns, waxy leaves, thick water-storing stems)",,,,
Grade 2,Science,"Medicinal, edible, and decorative uses of plants",,,,
Grade 2,Science,"Harmful, poisonous, or irritating plants (poison ivy, stinging nettles)",,,,
Grade 2,Science,"Interdependence of plants and animals (food chains, oxygen-carbon dioxide exchange)",,,,
Grade 2,Science,"Observing and measuring matter (mass, volume, length, temperature using basic tools)",,,,
Grade 2,Science,"Definite vs. indefinite shapes and volumes across solids, liquids, and gases",,,,
Grade 2,Science,How liquids take the shape of different containers while keeping volume,,,,
Grade 2,Science,"Gas properties (occupies space, has weight, exerts pressure like in balloons)",,,,
Grade 2,Science,Changes in states of matter due to temperature changes: Melting (solid to liquid),,,,
Grade 2,Science,Changes in states of matter due to temperature changes: Freezing / Solidification (liquid to solid),,,,
Grade 2,Science,Changes in states of matter due to temperature changes: Evaporation (liquid to gas),,,,
Grade 2,Science,Changes in states of matter due to temperature changes: Condensation (gas to liquid),,,,
Grade 2,Science,"Physical changes in matter (cutting, tearing, bending, folding, crushing, stretching)",,,,
Grade 2,Science,"Chemical changes / irreversible changes introduced simply (burning paper, rusting, cooking food)",,,,
Grade 2,Science,"Safe handling and storage of household chemicals and materials (flammable, toxic, corrosive labels)",,,,
Grade 2,Science,"Forces in nature: Contact forces (push, pull, friction, muscular force)",,,,
Grade 2,Science,"Forces in nature: Non-contact forces (gravity, magnetism)",,,,
Grade 2,Science,Effects of gravity (objects falling toward Earth),,,,
Grade 2,Science,"Magnetic poles (North and South poles, attraction vs. repulsion rules)",,,,
Grade 2,Science,"Uses of magnets in daily life (compasses, fridge seals, magnetic latches)",,,,
Grade 2,Science,Friction as a force that resists motion (helpful friction vs. unwanted friction),,,,
Grade 2,Science,"How lubricants reduce friction (oil, water, grease)",,,,
Grade 2,Science,Light: Natural vs. artificial light sources,,,,
Grade 2,Science,"Transparent, translucent, and opaque materials",,,,
Grade 2,Science,"Reflection of light on smooth and shiny surfaces (mirrors, still water)",,,,
Grade 2,Science,Sound production through vibrations,,,,
Grade 2,Science,"How sound travels through solids, liquids, and gases",,,,
Grade 2,Science,Pitch (frequency / fast vs. slow vibrations) and Volume (amplitude / strong vs. weak vibrations),,,,
Grade 2,Science,Heat sources and heat transfer basics (hot objects warming cooler objects),,,,
Grade 2,Science,"Effects of heat on matter (expansion, phase change, temperature rise)",,,,
Grade 2,Science,Electricity basics: Safety rules and appliances powered by mains electricity vs. batteries,,,,
Grade 2,Science,"Air around us: Composition (wind, air pressure basics, atmosphere)",,,,
Grade 2,Science,"Water cycle stages: Evaporation, condensation, precipitation, collection",,,,
Grade 2,Science,"Types of clouds (cumulus, stratus, cirrus, cumulonimbus) and their weather associations",,,,
Grade 2,Science,"Weather instruments: Thermometer (temperature), Wind vane (direction), Rain gauge (rainfall)",,,,
Grade 2,Science,"Severe weather events: Typhoons, storms, floods, droughts, heatwaves",,,,
Grade 2,Science,"Safety precautions during severe weather and disaster preparedness (go-bags, evacuation)",,,,
Grade 2,Science,The Sun as the main source of heat and light for Earth,,,,
Grade 2,Science,Dangers of direct sun exposure to skin and eyes; sun protection,,,,
Grade 2,Science,Earth rotation causing day and night cycles,,,,
Grade 2,Science,"Landforms (mountains, hills, valleys, plains, volcanoes, plateaus)",,,,
Grade 2,Science,"Bodies of water (oceans, seas, rivers, lakes, waterfalls, springs, ponds)",,,,
Grade 2,Science,"Soil composition: Sand, silt, clay, and humus / organic matter",,,,
Grade 2,Science,"Soil erosion causes (running water, strong winds) and prevention (planting trees)",,,,
Grade 2,Science,"Natural resources (renewable: water, wind, sunlight vs. non-renewable: minerals, fossil fuels)",,,,
Grade 2,Science,"Conserving soil, water, and air quality",,,,
Grade 2,Science,"Pollution types: Air, water, and land pollution causes and effects",,,,
Grade 2,Science,"Proper waste management (segregation, composting organic waste, recycling)",,,,
Grade 2,Science,"Using scientific measuring instruments accurately (thermometers, measuring cups, balances)",,,,
Grade 2,Science,Formulating hypotheses / making smart guesses before testing,,,,
Grade 2,Science,"Conducting simple, fair science experiments and recording step-by-step findings",,,,
Grade 2,Math,Counting whole numbers from 1 to 1000,,,,
Grade 2,Math,"Skip counting by 2s, 5s, and 10s up to 1000",,,,
Grade 2,Math,Skip counting by 50s and 100s up to 1000,,,,
Grade 2,Math,Reading and writing numbers up to 1000 in digits / symbols,,,,
Grade 2,Math,Reading and writing numbers up to 1000 in words,,,,
Grade 2,Math,"Place value of 3-digit numbers (hundreds, tens, ones)",,,,
Grade 2,Math,Value vs. place value of digits in a 3-digit number,,,,
Grade 2,Math,"Composing and decomposing 3-digit numbers using base-ten blocks (flats, rods, units)",,,,
Grade 2,Math,"Expanded form of 3-digit numbers (e.g., 348 = 300 + 40 + 8)",,,,
Grade 2,Math,"Comparing 3-digit numbers using relation symbols (>, <, =)",,,,
Grade 2,Math,Ordering 3-digit numbers in ascending and descending order,,,,
Grade 2,Math,"Identifying the number that comes before, after, and between given 3-digit numbers",,,,
Grade 2,Math,Ordinal numbers from 11th to 20th (eleventh through twentieth) and beyond,,,,
Grade 2,Math,Identifying and writing even and odd numbers up to 100,,,,
Grade 2,Math,Rounding whole numbers to the nearest ten and hundred,,,,
Grade 2,Math,Mental addition of 1-digit and 2-digit numbers,,,,
Grade 2,Math,Mental addition of 2-digit numbers and multiples of 10 or 100,,,,
Grade 2,Math,Adding 2-digit to 3-digit numbers without regrouping (sums up to 1000),,,,
Grade 2,Math,Adding 2-digit to 3-digit numbers with regrouping (carrying) in ones or tens,,,,
Grade 2,Math,Adding three to four 2-digit numbers,,,,
Grade 2,Math,Properties of addition: Commutative (Order) Property,,,,
Grade 2,Math,Properties of addition: Associative (Grouping) Property,,,,
Grade 2,Math,Properties of addition: Identity (Zero) Property,,,,
Grade 2,Math,Estimating sums of 2-digit and 3-digit numbers,,,,
Grade 2,Math,Solving 1-step addition word problems involving 3-digit numbers,,,,
Grade 2,Math,Solving 2-step word problems involving addition,,,,
Grade 2,Math,Mental subtraction of 1-digit from 2-digit numbers,,,,
Grade 2,Math,Mental subtraction of multiples of 10 and 100 from 3-digit numbers,,,,
Grade 2,Math,Subtracting 2-digit to 3-digit numbers without regrouping,,,,
Grade 2,Math,Subtracting 2-digit to 3-digit numbers with regrouping (borrowing) across tens or hundreds,,,,
Grade 2,Math,"Subtracting across zeros (e.g., 500 - 236)",,,,
Grade 2,Math,Estimating differences of 2-digit and 3-digit numbers,,,,
Grade 2,Math,Relationship between addition and subtraction (checking answers using inverse operations),,,,
Grade 2,Math,Solving 1-step subtraction word problems involving 3-digit numbers,,,,
Grade 2,Math,Solving 2-step word problems involving combined addition and subtraction,,,,
Grade 2,Math,"Concept of multiplication as repeated addition (e.g., 3 + 3 + 3 + 3 = 4 x 3)",,,,
Grade 2,Math,Concept of multiplication as equal groups and arrays (rows and columns),,,,
Grade 2,Math,Concept of multiplication as jumps on a number line,,,,
Grade 2,Math,"Multiplication terms and symbols (multiplication sign x, factors, product)",,,,
Grade 2,Math,"Multiplication tables and basic facts: 2, 3, 4, 5, and 10",,,,
Grade 2,Math,"Multiplication properties: Identity Property of 1 (e.g., 6 x 1 = 6)",,,,
Grade 2,Math,"Multiplication properties: Zero Property of Multiplication (e.g., 8 x 0 = 0)",,,,
Grade 2,Math,"Multiplication properties: Commutative Property of Multiplication (e.g., 4 x 5 = 5 x 4)",,,,
Grade 2,Math,"Multiplying 1-digit numbers by multiples of 10 (e.g., 3 x 20)",,,,
Grade 2,Math,"Multiplying a 2-digit number by a 1-digit number without regrouping (e.g., 23 x 3)",,,,
Grade 2,Math,Solving 1-step multiplication word problems,,,,
Grade 2,Math,Concept of division as equal sharing / partitioning,,,,
Grade 2,Math,Concept of division as repeated subtraction,,,,
Grade 2,Math,Concept of division as forming equal groups,,,,
Grade 2,Math,"Division terms and symbols (division sign ÷, dividend, divisor, quotient)",,,,
Grade 2,Math,Relationship between multiplication and division (fact families / inverse operations),,,,
Grade 2,Math,"Dividing numbers using basic facts of 2, 3, 4, 5, and 10",,,,
Grade 2,Math,Dividing numbers with remainders (conceptual introduction),,,,
Grade 2,Math,Division involving 0 and 1 (rules of zero and one in division),,,,
Grade 2,Math,Solving 1-step division word problems,,,,
Grade 2,Math,"Unit fractions: identifying and writing 1/2, 1/3, 1/4, 1/5, 1/6, 1/8 of a whole",,,,
Grade 2,Math,Unit fractions of a set / collection of objects,,,,
Grade 2,Math,Comparing unit fractions using visuals (understanding smaller denominators mean larger parts),,,,
Grade 2,Math,"Fractions equal to one whole (e.g., 2/2, 3/3, 4/4)",,,,
Grade 2,Math,"Non-unit fractions: identifying numerators and denominators (e.g., 2/3, 3/4)",,,,
Grade 2,Math,"Identifying 2D geometric shapes (square, rectangle, triangle, circle, half-circle, quarter-circle, pentagon, hexagon)",,,,
Grade 2,Math,Counting sides and vertices/corners of 2D shapes,,,,
Grade 2,Math,"Drawing straight, curved, vertical, horizontal, and slanted lines",,,,
Grade 2,Math,Identifying parallel and intersecting lines (informal recognition),,,,
Grade 2,Math,"Identifying 3D solid shapes (cube, rectangular prism, sphere, cylinder, cone, pyramid)",,,,
Grade 2,Math,"Counting faces, edges, and vertices of 3D solid figures",,,,
Grade 2,Math,Identifying 2D shapes as flat surfaces/faces of 3D objects,,,,
Grade 2,Math,Line of symmetry in 2D shapes and figures,,,,
Grade 2,Math,Completing symmetrical drawings across a vertical or horizontal line of symmetry,,,,
Grade 2,Math,"Tessellations: tiling planes using triangles, squares, and hexagons without gaps or overlaps",,,,
Grade 2,Math,"Complex repeating patterns involving shapes, numbers, letters, and colors",,,,
Grade 2,Math,Determining the missing term in a repeating or growing pattern,,,,
Grade 2,Math,"Number patterns and rules (e.g., +3 rule, -5 rule, doubling patterns)",,,,
Grade 2,Math,Measuring length using standard metric units: meter (m) and centimeter (cm),,,,
Grade 2,Math,Estimating lengths in centimeters and meters,,,,
Grade 2,Math,Selecting appropriate units of length (cm vs. m) for different objects,,,,
Grade 2,Math,Measuring mass/weight using standard metric units: gram (g) and kilogram (kg),,,,
Grade 2,Math,Estimating and comparing weights in grams and kilograms,,,,
Grade 2,Math,Measuring liquid volume/capacity using standard units: liter (L) and milliliter (mL),,,,
Grade 2,Math,Comparing capacities using liters and milliliters,,,,
Grade 2,Math,"Telling and writing time to the nearest 5 minutes on an analog clock (e.g., 4:25, 8:50)",,,,
Grade 2,Math,Telling time using 'minutes past / after' and 'minutes to / before' the hour,,,,
Grade 2,Math,Reading and converting between 12-hour analog time and digital displays,,,,
Grade 2,Math,Understanding a.m. and p.m. in daily schedules,,,,
Grade 2,Math,Calculating elapsed time in whole hours and half-hours,,,,
Grade 2,Math,"Calendar skills: calculating days between dates, weeks in a month, months in a year",,,,
